pcr_id,voucher_number,pcr_success,note,ignore_for_plating
20151206-pcr-1,FLPK-0296,0,blank,0
20151206-pcr-1,FLPK-0297,1,,0
20151206-pcr-1,FLPK-0298,1,,0
20151206-pcr-1,FLPK-0299,1,,0
20151206-pcr-1,FLPK-0300,1,,0
20151206-pcr-1,FLPK-0301,0,blank,0
20151206-pcr-1,FLPK-0302,0,blank,0
20151206-pcr-1,FLPK-0303,0,blank,0
20151206-pcr-1,FLPK-0304,1,,0
20151206-pcr-1,FLPK-0306,0,blank,0
20151206-pcr-1,FLPK-0307,0,blank,0
20151206-pcr-1,FLPK-0308,0,blank,0
20151206-pcr-1,FLPK-0309,1,,0
20151206-pcr-1,FLPK-0310,0,blank,0
20151206-pcr-1,FLPK-0311,0,blank,0
20151206-pcr-1,FLPK-0312,1,,0
20151206-pcr-1,FLPK-0313,1,,0
20151206-pcr-1,FLPK-0314,1,,0
20151206-pcr-1,FLPK-0315,1,,0
20151206-pcr-1,FLPK-0318,0,blank,0
20151206-pcr-1,FLPK-0319,1,,0
20151206-pcr-1,FLPK-0320,0,blank,0
20151206-pcr-1,FLPK-0321,1,,0
20151206-pcr-1,FLPK-0322,1,,0
20151206-pcr-1,FLPK-0323,1,,0
20151206-pcr-1,FLPK-0324,0,blank,0
20151206-pcr-1,FLPK-0325,0,blank,0
20151206-pcr-1,FLPK-0326,0,blank,0
20151206-pcr-1,FLPK-0327,0,blank,0
20151206-pcr-1,FLPK-0328,0,blank,0
20151206-pcr-1,FLPK-0329,1,,0
20151206-pcr-1,FLPK-0330,0,blank,0
20151206-pcr-1,FLPK-0331,0,blank,0
20151206-pcr-1,FLPK-0332,1,,0
20151206-pcr-1,FLPK-0333,0,blank,0
20151206-pcr-1,FLPK-0334,1,,0
20151206-pcr-1,FLPK-0335,1,,0
20151206-pcr-1,FLPK-0336,1,,0
20151206-pcr-1,FLPK-0339,0,blank,0
20151206-pcr-1,FLPK-0340,1,,0
20151206-pcr-1,FLPK-0341,1,,0
20151206-pcr-1,FLPK-0342,0,blank,0
20151206-pcr-1,FLPK-0343,1,,0
20151206-pcr-1,FLPK-0344,0,blank,0
20151206-pcr-1,FLPK-0345,1,,0
20151206-pcr-1,FLPK-0346,1,,0
20151206-pcr-1,FLPK-0347,1,,0
